--- Delivery Rules ---
('西门子 S7-1500 PLC 完全精通教程', 8, 1)
('西门子S7-1200PLC编程技术', 9, 1)
('长安的荔枝', 10, 1)
('倪海厦注解伤寒论', 11, 1)
('图解PLC控制系统梯形图和语句表', 12, 1)
('全彩图解电气控制电路100例', 13, 1)
('如何找到自己想做的事', 14, 1)
('（SCL语言）西门子S7-1200/1500 PLC SCL语言编程从入门到精通', 15, 1)
('TIA博途软件与S7-12001500 PLC应用详解 (张硕)', 16, 1)
('西门子PLC高级应用实例精解', 17, 1)
('底层逻辑', 18, 1)
('第 1 部天涯论坛之房产说 (KK大神, kkndme)', 19, 1)
('第 2 部天涯论坛之房产说 (KK大神, kkndme)', 20, 1)
('第 3 部天涯论坛之房产说 (KK大神, kkndme)', 21, 1)
('超简单：用Python让Excel飞起来', 22, 1)
('10岁开始学投资理财', 23, 1)
('挣钱不易，管好你的钱(管好了钱，就管好了自己的生活)', 24, 1)
('易经真的很容易', 25, 1)
('电子工程师自学速成入门篇', 26, 1)
('PLC编程实用指南第3版', 27, 1)
('电气控制与PLC应用技术', 28, 1)
('西门子PLC精通案例教程', 29, 1)
('CUDAC编程权威指南_高性能计算技术丛书', 30, 1)
('太白金星有点烦', 31, 1)
('趣学Python算法100例', 32, 1)
('动态素描·人体结构', 33, 1)
('世界绘画经典教程人物素描', 34, 1)
('医学伦理学', 35, 1)
('医学心理学', 36, 1)
('耳鼻咽喉头颈外科学', 37, 1)
('病理学', 38, 1)
('医学影像学', 39, 1)
('医学微生物学', 40, 1)
('皮肤性病学', 41, 1)
('全科医学概论', 42, 1)
('人体寄生虫学', 43, 1)
('流行病学', 44, 1)
('麻醉学', 45, 1)
('内科学', 46, 1)
('肿瘤学概论', 47, 1)
('病理生理学', 48, 1)
('药理学', 49, 1)
('康复医学', 50, 1)
('预防医学', 51, 1)
('妇产科学', 52, 1)
('组织学与胚胎学', 53, 1)
('医学遗传学', 54, 1)
('中医学', 55, 1)
('传染病学', 56, 1)
('精神病学', 57, 1)
('医学免疫学', 58, 1)
('儿科学', 59, 1)
('临床药理学', 60, 1)
('神经病学', 61, 1)
('口腔科学', 62, 1)
('眼科学', 63, 1)
('外科学', 64, 1)
('临床流行病学与循证医学', 65, 1)
('显微镜下的大明', 66, 1)
('倪海厦人纪针灸课堂图文笔记_七月_', 67, 1)
('中国符咒文化大观', 68, 1)
('图解古代人体工程学1：麻衣神相', 69, 1)
('截拳道之道', 70, 1)
('三菱PLC编程技术及工程案例精选（第2版）', 71, 1)
('S7-1200PLC编程及应用', 72, 1)
('深入浅出西门子运动控制器', 73, 1)
